t,x,y,yaw,roll,pitch,state,target_id
1789540272.9139233,11.911711902918215,1.024701611434165,-0.09903015383527891,-3.416450969657033e-11,9.62362081327722e-10,NAVIGATING,door_blue_df7a1e
1789540273.2641041,11.911711925787836,1.0316779696069813,-0.15589609434101034,-3.903760037813968e-11,9.65562527783141e-10,NAVIGATING,door_blue_df7a1e
1789540273.6138682,11.911711952797432,1.039340498969608,-0.2217175479497812,-4.146835680494885e-11,9.641894959930447e-10,NAVIGATING,door_blue_df7a1e
1789540273.9640388,11.911711974688407,1.0451154049226108,-0.2747095879537863,-4.247297407948386e-11,9.564216597086443e-10,NAVIGATING,door_blue_df7a1e
1789540274.3138616,11.91171199589944,1.0503221737591555,-0.32612613189931594,-4.274534143572738e-11,9.483722629249514e-10,NAVIGATING,door_blue_df7a1e
1789540274.663691,11.911712016404362,1.0549522871851618,-0.3760552047693563,-4.284768682484213e-11,9.425332986786163e-10,NAVIGATING,door_blue_df7a1e
1789540275.0137138,11.91171203226424,1.0582374435492288,-0.41497720968564017,-4.257679124109369e-11,9.38878927007463e-10,NAVIGATING,door_blue_df7a1e
1789540275.363751,11.911712055063978,1.062463526116968,-0.4717325731183893,-4.1669183722006637e-11,9.334763611057774e-10,NAVIGATING,door_blue_df7a1e
1789540275.7137544,11.911712073116094,1.0653415622062097,-0.5175941544332148,-4.064003644555688e-11,9.28963433008257e-10,NAVIGATING,door_blue_df7a1e
1789540276.0637827,11.91171209027351,1.0676361618206953,-0.5621986315266988,-3.9263123791258926e-11,9.248472374103552e-10,NAVIGATING,door_blue_df7a1e
1789540276.4139252,11.911712109666341,1.0696247252039712,-0.6141162421763966,-3.7523447629900695e-11,9.202772530853948e-10,NAVIGATING,door_blue_df7a1e
1789540276.7637122,11.91171212481916,1.0706507238013563,-0.6560771999093561,-3.586325672645869e-11,9.170327490281922e-10,NAVIGATING,door_blue_df7a1e
1789540277.1138084,11.911712141806294,1.071134978808929,-0.7049041379206615,-3.381533861607386e-11,9.135405770908843e-10,NAVIGATING,door_blue_df7a1e
1789540277.4639661,11.912075821934108,1.071139120204698,-0.7536507651920207,8.392545857178704e-12,9.25736150982424e-10,NAVIGATING,door_blue_df7a1e
1789540277.8145337,11.912268037833067,1.0711397861538599,-0.7873846927611297,-2.2636286003418195e-11,1.0153227086629745e-09,NAVIGATING,door_blue_df7a1e
1789540278.163764,11.91226808237238,1.07158170327687,-0.8374468606802522,2.4688209650553965e-12,9.974636331052865e-10,NAVIGATING,door_blue_df7a1e
1789540278.5140114,11.912371442651985,1.071694924522832,-0.8857665126822697,1.3236203822969239e-11,9.204024468910092e-10,NAVIGATING,door_blue_df7a1e
1789540278.863835,11.91299301339227,1.0716949390184305,-0.9269000754331344,3.3029544389326446e-11,9.059598459242936e-10,NAVIGATING,door_blue_df7a1e
1789540279.2137902,11.914489849718791,1.0716949575952792,-0.9777996585038112,3.7097380180337593e-11,9.120363337527025e-10,NAVIGATING,door_blue_df7a1e
1789540279.564124,11.916370557137608,1.0716949740534576,-1.0215307385927135,3.833035128191149e-11,9.202255824249454e-10,NAVIGATING,door_blue_df7a1e
1789540279.9140947,11.918832219967367,1.0716949914225335,-1.0664917472022133,4.0186894663030054e-11,9.248266808535359e-10,NAVIGATING,door_blue_df7a1e
1789540280.26397,11.922557285945686,1.0716950133862728,-1.1221235175792061,4.137892154979408e-11,9.282462198839636e-10,NAVIGATING,door_blue_df7a1e
1789540280.6137877,11.933377252573168,1.0564094487760545,-1.1740032236360993,-1.6030052009469873e-11,-1.1378833730709119e-09,NAVIGATING,door_blue_df7a1e
1789540280.9647136,11.945373743003257,1.0358463176505088,-1.2181885258951486,-4.517878723614533e-11,2.958036396876004e-10,NAVIGATING,door_blue_df7a1e
1789540281.3144753,11.956680794630927,1.0149470423584814,-1.261125708505731,-1.4728901574068768e-10,9.743697396512556e-10,NAVIGATING,door_blue_df7a1e
1789540281.6639793,11.968416110245053,0.9895334237943455,-1.3015475314959957,-6.037727302641583e-11,1.0913173606291996e-09,NAVIGATING,door_blue_df7a1e
1789540282.01662,11.979452159211585,0.9638314703001533,-1.3429364860901598,-4.403545580278561e-11,9.768949404975955e-10,NAVIGATING,door_blue_df7a1e
